GP_DIFF,PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,AST_DIFF,TOV_DIFF,PLUS_MINUS_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,PIE_DIFF,HOME_TEAM,WINNER
0.0,8.400000000000006,0.03400000000000003,0.010000000000000009,-0.08499999999999996,0.6999999999999993,2.3999999999999986,2.5,-2.5999999999999996,10.0,8.400000000000006,-1.2999999999999972,0.0019999999999998908,0.3700000000000001,1.4000000000000021,0.043999999999999984,0.026000000000000023,0.07700000000000001,1,1
0.0,8.400000000000006,0.03600000000000003,0.01100000000000001,-0.09199999999999986,0.5999999999999996,2.3999999999999986,2.3999999999999986,-2.6000000000000014,10.2,8.400000000000006,-1.3000000000000114,-0.0020000000000000018,0.3600000000000001,1.4000000000000004,0.04600000000000004,0.028000000000000025,0.07800000000000001,0,1
0.0,4.700000000000003,0.019000000000000017,-0.033999999999999975,-0.09100000000000008,-0.5,1.1000000000000014,1.1999999999999993,-0.5999999999999996,8.6,4.700000000000003,-4.0,0.014000000000000012,0.17000000000000015,0.9000000000000021,0.033000000000000085,0.02300000000000002,0.057999999999999996,0,1
-1.0,4.900000000000006,0.02300000000000002,-0.04799999999999999,-0.08299999999999996,-0.7000000000000011,0.30000000000000426,2.1999999999999993,-0.9000000000000004,9.4,4.900000000000006,-4.599999999999994,0.03300000000000003,0.27,1.5,0.03500000000000003,0.025000000000000022,0.063,1,1
0.0,2.700000000000003,0.0040000000000000036,0.025000000000000022,-0.039999999999999925,1.5,0.5,2.8999999999999986,0.1999999999999993,2.1,2.700000000000003,1.0,0.051000000000000045,0.16000000000000014,1.5,0.01799999999999996,0.006000000000000005,0.016000000000000014,1,1
1.0,-2.5,-0.02699999999999997,0.008000000000000007,0.03199999999999992,2.6000000000000014,-5.199999999999999,1.7999999999999972,0.1999999999999993,-10.8,-2.5,9.200000000000003,0.04600000000000004,0.09000000000000008,0.7999999999999989,-0.012999999999999956,-0.027000000000000024,-0.10500000000000004,0,0
0.0,7.700000000000003,0.031000000000000028,0.007000000000000006,-0.025000000000000022,-1.4000000000000004,1.5999999999999979,5.100000000000001,-4.100000000000001,9.100000000000001,7.700000000000003,-1.2999999999999972,0.07900000000000007,0.6699999999999999,3.3000000000000007,0.02799999999999997,0.025000000000000022,0.08800000000000002,0,1
0.0,6.800000000000011,0.03999999999999998,-0.06,-0.0050000000000000044,-3.4000000000000004,2.200000000000003,4.699999999999999,-2.4000000000000004,8.4,6.800000000000011,-1.7000000000000028,0.09599999999999997,0.51,3.1999999999999993,0.02800000000000008,0.03500000000000003,0.09900000000000003,1,1
1.0,1.7999999999999972,0.01100000000000001,0.01799999999999996,0.050000000000000044,-1.8000000000000007,4.100000000000001,1.4000000000000021,1.0999999999999996,-0.4,1.7999999999999972,2.0,0.03799999999999992,0.0,1.200000000000001,0.02300000000000002,0.025000000000000022,0.0020000000000000018,0,0
2.0,2.5999999999999943,0.02400000000000002,0.038000000000000034,0.03500000000000003,-2.3999999999999986,3.3000000000000007,0.20000000000000284,1.9000000000000004,-1.5,2.5999999999999943,4.599999999999994,0.010000000000000009,-0.1499999999999999,0.6000000000000014,0.03800000000000009,0.041000000000000036,-0.0040000000000000036,1,0
2.0,-1.0,0.0020000000000000018,-0.011999999999999955,-0.010000000000000009,0.5999999999999996,0.8000000000000007,1.8999999999999986,0.8000000000000007,2.6999999999999997,-1.0,-3.4000000000000057,0.04300000000000004,0.04999999999999982,1.1000000000000014,-0.0010000000000000009,-0.0050000000000000044,0.02100000000000002,0,0
2.0,-0.09999999999999432,0.007000000000000006,0.010000000000000009,0.009000000000000008,0.5999999999999996,0.0,1.8999999999999986,0.9000000000000004,0.8,-0.09999999999999432,-0.7999999999999972,0.03200000000000003,0.050000000000000044,1.1000000000000014,0.006000000000000005,0.0,-0.0030000000000000027,1,1
2.0,-3.799999999999997,0.009999999999999953,-0.0030000000000000027,-0.03399999999999992,-1.5999999999999996,1.6000000000000014,2.5,3.0,0.10000000000000009,-3.799999999999997,-3.4000000000000057,0.07599999999999996,-0.1200000000000001,1.6000000000000014,0.015000000000000013,0.008000000000000007,0.01100000000000001,0,1
1.0,-1.5999999999999943,0.025999999999999968,-0.009999999999999953,-0.039999999999999925,-0.6999999999999993,0.3000000000000007,3.599999999999998,3.799999999999999,2.9,-1.5999999999999943,-4.299999999999997,0.09299999999999997,-0.08999999999999986,2.3000000000000007,0.030000000000000027,0.02100000000000002,0.02999999999999997,1,0
1.0,3.700000000000003,0.030999999999999972,0.025000000000000022,-0.02400000000000002,-1.8999999999999986,2.0,3.6000000000000014,0.1999999999999993,6.7,3.700000000000003,-2.8000000000000114,0.07599999999999996,0.21999999999999997,2.5,0.03700000000000003,0.03400000000000003,0.05600000000000005,1,1
0.0,2.4000000000000057,0.031000000000000028,0.026000000000000023,-0.04599999999999993,-2.0,1.5,3.099999999999998,0.5999999999999996,4.8,2.4000000000000057,-2.200000000000003,0.07199999999999995,0.1499999999999999,2.1999999999999993,0.03400000000000003,0.029999999999999916,0.043999999999999984,0,1
0.0,8.599999999999994,0.029000000000000026,0.063,0.0129999999999999,0.0,2.400000000000002,2.1999999999999993,-0.29999999999999893,15.8,8.599999999999994,-7.200000000000003,0.030999999999999917,0.18999999999999995,1.3999999999999986,0.04099999999999998,0.04400000000000004,0.10000000000000003,1,1
