GP_DIFF,PTS_DIFF,FG_PCT_DIFF,FG3_PCT_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,AST_DIFF,TOV_DIFF,PLUS_MINUS_DIFF,OFF_RATING_DIFF,DEF_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,PIE_DIFF,HOME_TEAM,WINNER
-3.0,9.199999999999989,0.02699999999999997,0.010000000000000009,-0.10599999999999998,2.5,1.5000000000000036,-0.40000000000000213,-2.5,8.3,9.199999999999989,1.2000000000000028,-0.06699999999999995,0.2100000000000002,-0.6000000000000014,0.035999999999999976,0.02200000000000002,0.05800000000000005,0,1
0.0,9.5,0.03699999999999998,0.03699999999999998,-0.122,2.1999999999999993,1.1000000000000014,0.3000000000000007,-2.1999999999999993,8.0,9.5,1.6000000000000085,-0.05799999999999994,0.2100000000000002,0.0,0.049000000000000044,0.030000000000000027,0.052999999999999936,1,1
2.0,12.299999999999997,0.05499999999999999,0.046999999999999986,-0.1110000000000001,2.4000000000000004,-0.20000000000000284,2.5,-1.299999999999999,6.6,12.299999999999997,6.1000000000000085,-0.03299999999999992,0.26,1.1999999999999993,0.06700000000000006,0.04499999999999993,0.05099999999999999,1,1
0.0,4.6000000000000085,0.069,0.0,-0.04200000000000004,-4.4,0.5,-1.4000000000000021,4.900000000000002,-4.6000000000000005,4.6000000000000085,8.0,-0.03700000000000003,-0.5999999999999999,-0.1999999999999993,0.07200000000000001,0.06800000000000006,-0.0119999999999999,0,1
-2.0,11.599999999999994,0.028000000000000025,0.03700000000000003,-0.030999999999999917,1.5,2.8999999999999986,1.6999999999999993,-4.0,17.6,11.599999999999994,-6.0,-0.026000000000000023,0.5399999999999998,0.8000000000000007,0.03699999999999998,0.02999999999999997,0.11199999999999993,0,1
-2.0,12.099999999999994,0.038000000000000034,0.038000000000000034,-0.040000000000000036,1.0999999999999996,2.799999999999997,2.1999999999999993,-3.3999999999999986,15.8,12.099999999999994,-3.799999999999997,-0.014000000000000012,0.5299999999999998,1.1999999999999993,0.043999999999999984,0.03700000000000003,0.10700000000000004,1,1
-3.0,12.299999999999997,0.04500000000000004,0.009999999999999953,-0.03700000000000003,1.4000000000000004,3.6999999999999993,1.3000000000000007,-2.6999999999999993,19.6,12.299999999999997,-7.400000000000006,-0.03300000000000003,0.3600000000000001,0.6000000000000014,0.04500000000000004,0.04300000000000004,0.14600000000000007,0,0
-1.0,13.0,0.09300000000000008,0.061,0.0020000000000000018,-4.200000000000001,0.0,0.6000000000000014,0.1999999999999993,22.3,13.0,-10.299999999999997,-0.04500000000000004,0.020000000000000018,0.9000000000000021,0.08800000000000002,0.09099999999999997,0.16799999999999993,1,1
0.0,2.5,-0.006000000000000005,-0.014999999999999958,-0.0029999999999998916,1.9000000000000004,1.5,0.3999999999999986,-1.0,5.4,2.5,-2.8000000000000114,0.0010000000000000009,0.13000000000000012,-0.09999999999999787,-0.006999999999999951,-0.0040000000000000036,0.03799999999999998,0,1
0.0,2.1000000000000085,-0.008000000000000007,-0.020000000000000018,-0.0039999999999998925,1.8000000000000007,1.2999999999999972,0.3000000000000007,-1.1000000000000014,4.6,2.1000000000000085,-2.299999999999997,0.0040000000000000036,0.13000000000000012,-0.09999999999999787,-0.007999999999999952,-0.006000000000000005,0.03400000000000003,1,1
1.0,-2.200000000000003,-0.03200000000000003,-0.04199999999999998,-0.01200000000000001,2.0,3.1999999999999957,0.40000000000000213,-2.400000000000002,3.3000000000000003,-2.200000000000003,-4.8999999999999915,0.02200000000000002,0.20999999999999996,-0.09999999999999787,-0.033999999999999975,-0.035999999999999976,0.026000000000000023,1,1
1.0,-3.700000000000003,-0.041000000000000036,-0.03600000000000003,-0.004999999999999893,1.9000000000000004,3.5000000000000036,0.1999999999999993,-2.3000000000000007,2.8,-3.700000000000003,-6.0,0.029000000000000026,0.18999999999999995,-0.1999999999999993,-0.04099999999999998,-0.041000000000000036,0.023000000000000076,0,1
0.0,0.5,0.006999999999999951,-0.01100000000000001,-0.03400000000000003,-0.7999999999999989,1.5999999999999979,0.09999999999999787,-1.4000000000000004,1.1000000000000005,0.5,-0.5,-0.0040000000000000036,0.1499999999999999,0.09999999999999787,0.0010000000000000564,-0.0010000000000000009,0.01200000000000001,1,1
-2.0,1.0999999999999943,0.016000000000000014,0.0,-0.02100000000000002,-2.8000000000000007,2.299999999999997,-0.20000000000000284,-1.5000000000000018,3.9000000000000004,1.0999999999999943,-3.0999999999999943,0.0,0.1499999999999999,0.20000000000000284,0.007000000000000062,0.01200000000000001,0.04200000000000004,0,0
2.0,4.0,0.030000000000000027,-0.03699999999999992,-0.03199999999999992,-0.6000000000000014,3.8999999999999986,0.0,-0.29999999999999893,4.6,4.0,-1.1000000000000085,-0.02100000000000002,0.030000000000000027,0.10000000000000142,0.013000000000000067,0.018000000000000016,0.049000000000000044,1,1
0.0,11.5,0.056999999999999995,0.032999999999999974,-0.08099999999999996,0.8000000000000007,6.299999999999997,1.6999999999999993,-1.5,5.6,11.5,5.700000000000003,-0.04599999999999993,0.30000000000000004,0.8000000000000007,0.05099999999999999,0.041000000000000036,0.05499999999999999,0,0
1.0,1.9000000000000057,-0.007000000000000006,-0.0050000000000000044,0.02200000000000013,1.0,2.400000000000002,-2.1000000000000014,-0.8000000000000007,-5.1,1.9000000000000057,7.200000000000003,-0.051999999999999935,-0.05999999999999983,-1.3000000000000007,-0.0020000000000000018,0.0020000000000000018,-0.04200000000000004,0,0
