GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
75,107.0,0.458,0.358,0.688,12.2,34.7,23.1,15.8,1.1,107.0,105.9,0.594,1.46,16.8,0.512,0.547,0.512
41,107.3,0.454,0.353,0.694,13.0,34.2,22.9,16.1,1.2,107.3,106.0,0.589,1.42,16.5,0.508,0.545,0.512
12,106.6,0.463,0.352,0.672,13.8,34.6,22.4,17.8,3.5,106.6,102.8,0.589,1.26,16.2,0.511,0.549,0.534
79,103.0,0.448,0.38,0.756,9.2,32.0,24.3,15.2,-6.7,103.0,109.4,0.636,1.6,17.9,0.503,0.54,0.457
57,102.0,0.445,0.373,0.751,9.5,33.2,23.5,15.6,-5.6,102.0,107.3,0.62,1.5,17.4,0.499,0.536,0.461
24,102.9,0.441,0.386,0.735,10.5,33.3,24.1,15.3,-3.5,102.9,106.0,0.626,1.58,17.6,0.499,0.532,0.463
10,98.8,0.418,0.406,0.704,11.8,34.9,23.3,16.4,-6.5,98.8,104.9,0.638,1.42,16.9,0.476,0.509,0.439
60,102.7,0.435,0.345,0.743,11.9,33.2,21.4,13.3,-6.5,102.7,109.3,0.554,1.61,15.8,0.473,0.514,0.455
32,105.4,0.439,0.365,0.743,12.4,31.4,21.4,12.8,-6.6,105.4,112.1,0.546,1.67,15.7,0.48,0.522,0.455
14,105.5,0.44,0.289,0.749,13.4,29.6,20.4,13.1,-10.0,105.5,115.3,0.522,1.56,15.0,0.468,0.518,0.437
6,105.1,0.446,0.333,0.761,12.8,27.8,21.3,14.8,-10.1,105.1,115.0,0.556,1.44,15.6,0.475,0.528,0.436
69,101.2,0.417,0.318,0.772,11.0,33.5,18.9,14.1,-9.2,101.2,110.2,0.517,1.34,14.3,0.464,0.512,0.428
