GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
20,102.9,0.423,0.338,0.788,10.3,33.9,20.6,14.8,-1.1,102.9,103.8,0.559,1.39,15.3,0.474,0.522,0.487
72,103.1,0.441,0.349,0.789,9.9,32.6,22.3,15.6,-6.4,103.1,109.8,0.588,1.43,16.5,0.497,0.538,0.459
41,104.2,0.443,0.349,0.788,9.3,32.9,21.8,14.9,-3.6,104.2,108.1,0.576,1.47,16.2,0.501,0.544,0.48
34,103.0,0.438,0.344,0.795,9.2,32.9,21.8,15.2,-4.4,103.0,107.8,0.581,1.44,16.2,0.497,0.539,0.474
9,105.5,0.438,0.342,0.78,8.1,34.0,19.8,13.5,4.8,105.5,101.4,0.541,1.47,15.1,0.501,0.55,0.53
61,103.9,0.449,0.336,0.762,8.6,33.2,24.2,14.5,-3.4,103.9,106.9,0.629,1.67,17.8,0.504,0.542,0.486
32,105.0,0.455,0.352,0.76,8.0,32.9,23.8,14.2,-0.5,105.0,105.1,0.616,1.68,17.7,0.513,0.551,0.502
24,106.1,0.456,0.365,0.752,7.9,32.7,24.2,13.9,1.8,106.1,104.0,0.624,1.74,17.9,0.516,0.554,0.511
59,108.6,0.47,0.348,0.767,9.8,34.7,26.1,14.7,-2.5,108.6,111.0,0.633,1.78,18.8,0.529,0.56,0.5
55,109.2,0.473,0.352,0.777,9.5,34.8,26.3,14.7,-1.4,109.2,110.5,0.635,1.79,19.0,0.533,0.566,0.506
14,103.5,0.457,0.341,0.771,9.4,33.5,25.5,16.1,-9.0,103.5,112.3,0.646,1.59,18.5,0.514,0.546,0.465
3,100.0,0.444,0.309,0.72,9.5,33.5,23.4,16.0,-7.7,100.0,107.7,0.622,1.46,17.2,0.495,0.528,0.473
20,110.3,0.462,0.361,0.783,11.3,33.4,28.2,14.0,0.0,110.3,110.3,0.669,2.01,19.7,0.526,0.556,0.505
6,105.0,0.443,0.319,0.765,10.9,35.2,24.0,14.7,-5.6,105.0,111.3,0.6,1.63,17.2,0.501,0.532,0.466
5,106.2,0.45,0.327,0.757,10.2,34.8,24.0,14.9,-4.0,106.2,110.6,0.602,1.61,17.3,0.51,0.543,0.474
