GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
35,102.5,0.432,0.326,0.774,13.1,34.3,20.0,16.9,1.6,102.5,100.8,0.539,1.18,14.7,0.472,0.523,0.508
19,101.5,0.43,0.345,0.75,12.2,33.8,19.2,17.1,1.7,101.5,99.7,0.528,1.13,14.3,0.475,0.523,0.502
69,101.4,0.437,0.3,0.732,13.1,32.3,23.6,16.1,-2.8,101.4,103.8,0.62,1.47,16.9,0.47,0.513,0.491
54,101.6,0.435,0.3,0.733,13.7,32.6,23.4,16.3,-2.3,101.6,103.7,0.619,1.44,16.7,0.468,0.513,0.496
42,101.5,0.431,0.295,0.733,14.2,32.9,23.4,16.4,-2.4,101.5,103.7,0.619,1.42,16.6,0.465,0.509,0.496
70,107.6,0.44,0.343,0.78,12.8,32.6,23.8,13.7,3.1,107.6,104.6,0.609,1.74,17.0,0.483,0.532,0.518
47,107.2,0.437,0.345,0.786,13.2,33.2,23.8,14.0,4.3,107.2,103.0,0.608,1.7,17.0,0.48,0.529,0.522
26,106.1,0.426,0.34,0.799,13.4,32.4,23.2,14.1,3.8,106.1,102.6,0.609,1.65,16.6,0.471,0.523,0.519
6,102.4,0.414,0.316,0.801,11.5,31.2,22.8,15.6,4.4,102.4,98.0,0.639,1.46,16.4,0.455,0.516,0.533
78,101.7,0.438,0.332,0.773,12.2,30.5,22.5,15.7,-8.9,101.7,110.5,0.592,1.43,16.3,0.467,0.516,0.453
70,101.7,0.437,0.336,0.767,12.5,30.8,22.7,15.7,-8.3,101.7,109.9,0.594,1.45,16.4,0.467,0.514,0.457
22,100.3,0.435,0.324,0.737,12.5,29.1,22.1,15.7,-10.4,100.3,110.9,0.589,1.41,16.0,0.461,0.508,0.444
13,102.5,0.437,0.356,0.739,13.3,28.8,21.0,15.9,-10.0,102.5,112.9,0.551,1.32,15.2,0.468,0.514,0.44
49,103.1,0.453,0.322,0.791,10.5,33.2,22.8,15.7,-4.1,103.1,107.0,0.599,1.45,16.8,0.483,0.535,0.488
20,102.7,0.444,0.328,0.804,10.0,35.6,20.6,15.5,-0.9,102.7,103.2,0.555,1.33,15.4,0.477,0.534,0.508
79,109.9,0.466,0.35,0.8,12.0,32.3,24.4,14.6,-1.1,109.9,110.8,0.596,1.67,17.6,0.51,0.555,0.501
73,109.5,0.467,0.35,0.795,11.9,32.3,24.4,14.8,-0.9,109.5,110.2,0.596,1.65,17.6,0.511,0.555,0.503
70,109.3,0.466,0.35,0.793,12.0,32.7,24.5,14.9,-0.6,109.3,109.7,0.597,1.64,17.6,0.511,0.554,0.504
8,110.7,0.457,0.408,0.75,13.5,31.0,22.6,15.2,-0.1,110.7,109.6,0.562,1.49,16.3,0.51,0.551,0.495
79,112.4,0.477,0.357,0.805,10.5,32.5,23.2,12.9,1.8,112.4,110.5,0.551,1.8,17.0,0.524,0.567,0.516
60,112.9,0.48,0.358,0.8,10.7,32.2,23.6,12.9,2.9,112.9,109.9,0.556,1.82,17.2,0.526,0.569,0.523
37,111.8,0.476,0.354,0.794,10.8,32.0,23.5,13.6,2.4,111.8,109.3,0.563,1.73,17.1,0.524,0.566,0.52
33,110.9,0.471,0.357,0.796,11.0,31.8,23.2,13.7,1.7,110.9,109.0,0.563,1.69,16.9,0.518,0.562,0.515
47,109.7,0.449,0.352,0.791,11.3,32.7,24.0,12.9,0.2,109.7,109.7,0.599,1.86,17.3,0.504,0.547,0.508
39,109.6,0.452,0.357,0.79,11.0,32.6,24.2,12.9,0.0,109.6,109.8,0.601,1.88,17.5,0.507,0.549,0.509
11,107.5,0.43,0.346,0.817,11.1,30.0,21.8,12.3,-6.9,107.5,114.7,0.564,1.78,16.0,0.486,0.533,0.47
6,108.7,0.431,0.35,0.85,11.3,30.4,22.3,13.0,-4.3,108.7,113.4,0.582,1.72,16.2,0.486,0.54,0.484
21,107.6,0.441,0.33,0.758,10.5,34.4,22.3,14.6,-1.5,107.6,108.9,0.582,1.53,16.4,0.511,0.55,0.495
27,106.0,0.442,0.352,0.743,10.6,31.8,24.0,13.9,-7.3,106.0,112.9,0.608,1.73,17.5,0.51,0.54,0.455
2,110.2,0.439,0.343,0.804,11.7,31.1,22.3,10.7,7.3,110.2,102.4,0.554,2.09,16.4,0.503,0.542,0.534
