GP,PTS,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,AST_PCT,AST_TO,AST_RATIO,EFG_PCT,TS_PCT,PIE
52,103.4,0.454,0.313,0.758,12.6,36.6,23.4,16.5,2.4,103.4,101.2,0.602,1.42,16.9,0.488,0.532,0.531
49,103.3,0.456,0.314,0.755,12.3,36.7,23.4,16.5,2.7,103.3,100.9,0.599,1.41,16.9,0.49,0.534,0.532
8,103.4,0.459,0.228,0.743,12.8,37.2,22.6,16.5,3.3,103.4,100.1,0.567,1.37,16.4,0.483,0.525,0.526
79,107.1,0.46,0.354,0.691,12.0,34.7,23.2,15.8,1.1,107.1,106.0,0.595,1.47,16.9,0.513,0.549,0.513
70,106.8,0.458,0.36,0.689,12.0,34.8,23.1,15.8,1.0,106.8,105.8,0.593,1.46,16.8,0.513,0.548,0.511
26,107.9,0.452,0.372,0.69,13.9,34.7,21.5,16.9,2.8,107.9,104.7,0.565,1.27,15.6,0.51,0.549,0.524
5,105.4,0.47,0.348,0.663,14.8,33.6,21.3,20.2,-1.7,105.4,106.5,0.566,1.05,15.3,0.514,0.553,0.5
78,103.1,0.449,0.381,0.756,9.2,32.0,24.3,15.2,-6.6,103.1,109.5,0.636,1.6,18.0,0.504,0.541,0.458
26,103.0,0.446,0.383,0.74,10.2,33.5,23.9,15.4,-2.6,103.0,105.3,0.619,1.55,17.6,0.503,0.536,0.472
12,99.9,0.428,0.407,0.709,11.0,34.9,24.5,15.8,-4.4,99.9,104.2,0.65,1.54,17.7,0.487,0.516,0.453
65,102.4,0.435,0.342,0.744,12.1,33.6,21.6,13.5,-6.4,102.4,108.8,0.557,1.59,15.8,0.472,0.513,0.456
27,105.0,0.435,0.342,0.754,12.4,31.1,20.9,12.4,-7.3,105.0,112.2,0.536,1.68,15.4,0.473,0.518,0.45
9,104.4,0.438,0.317,0.758,13.0,28.7,20.7,14.1,-9.7,104.4,113.9,0.544,1.47,15.3,0.469,0.521,0.438
3,103.4,0.433,0.326,0.783,11.0,28.3,20.7,14.5,-15.5,103.4,119.8,0.561,1.43,15.3,0.462,0.522,0.413
63,101.0,0.415,0.321,0.769,11.1,33.2,18.8,14.2,-10.1,101.0,110.8,0.517,1.33,14.2,0.462,0.509,0.423
40,99.4,0.412,0.312,0.771,11.0,33.3,19.0,14.4,-9.1,99.4,108.3,0.526,1.32,14.3,0.457,0.503,0.429
35,99.1,0.413,0.32,0.758,10.9,33.6,19.2,14.6,-9.3,99.1,108.3,0.53,1.32,14.4,0.46,0.504,0.429
13,100.5,0.415,0.326,0.792,9.5,34.9,19.3,15.3,-7.3,100.5,108.0,0.546,1.26,14.6,0.464,0.518,0.446
81,105.5,0.45,0.347,0.755,11.5,32.4,21.1,15.2,-6.8,105.5,112.1,0.532,1.38,15.6,0.501,0.538,0.446
16,108.9,0.468,0.371,0.808,10.2,32.4,22.0,15.8,-2.4,108.9,111.5,0.545,1.39,16.3,0.526,0.566,0.472
